DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,LICENSE DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
Frank's,2503 N CLARK ST 1ST,CHICAGO,IL,60614,Late Hour,41.92794748,-87.64172577,"(41.9279474829532, -87.64172577279659)"
NEO,2348-2352 N CLARK ST # 1ST,CHICAGO,IL,60614,Late Hour,41.92497231,-87.64025215,"(41.92497231271773, -87.64025215402182)"
KINGSTON MINES,2548-2550 N HALSTED ST,CHICAGO,IL,60614,Late Hour,41.92872348,-87.64902258,"(41.92872347700267, -87.64902257806406)"
RAVENS,2326 N CLARK ST BASEM #,CHICAGO,IL,60614,Late Hour,41.92444249,-87.63993234,"(41.924442493612474, -87.63993233882339)"
MAX BAR,2247 N LINCOLN AVE,CHICAGO,IL,60614,Late Hour,41.92302562,-87.64516636,"(41.923025621203976, -87.64516636089154)"
YAK-ZIES BAR AND GRILL,506 W DIVERSEY PKWY LL1-1,CHICAGO,IL,60614,Late Hour,41.93297221,-87.64171517,"(41.93297221225597, -87.64171516501513)"
THE MANHANDLER,1948 N HALSTED ST 1ST,CHICAGO,IL,60614,Late Hour,41.91738308,-87.64862235,"(41.91738307633817, -87.64862234881615)"
HARD ROCK CAFE,63 W ONTARIO ST 1ST,CHICAGO,IL,60610,Late Hour,41.89312776,-87.63056252,"(41.89312775453658, -87.63056251830054)"
ROOM 7,7 W DIVISION ST 1ST,CHICAGO,IL,60610,Late Hour,41.90382674,-87.6289923,"(41.903826743362245, -87.62899230340854)"
DROP,1909 N LINCOLN AVE  1,CHICAGO,IL,60614,Late Hour,41.91684811,-87.63652447,"(41.91684810981031, -87.6365244655254)"
THE MID,306 N HALSTED ST 1,CHICAGO,IL,60661,Late Hour,41.88702465,-87.64765954,"(41.887024646067374, -87.64765954319624)"
O'HARE GASLIGHT CLUB,4000 N O'HARE FIELD  1ST ,CHICAGO,IL,60666,Late Hour,,,
"THE HANGGE- UPPE, INC.",14 W ELM ST,CHICAGO,IL,60610,Late Hour,41.90327641,-87.62921431,"(41.90327641442854, -87.62921431382145)"
BURTON PLACE,1447 N WELLS ST,CHICAGO,IL,60610,Late Hour,41.90902974,-87.63449666,"(41.909029735838615, -87.63449666286718)"
SABATINOS INC,4441-4443 W IRVING PARK RD,CHICAGO,IL,60641,Late Hour,41.95340286,-87.73960223,"(41.95340285737685, -87.73960222580374)"
ALIBIS,6420 N WESTERN AVE,CHICAGO,IL,60645,Late Hour,41.99838203,-87.69005128,"(41.998382026238964, -87.69005128167967)"
JEREZ SPORT BAR AND GRILL,5726 W GRAND AVE,CHICAGO,IL,60639,Late Hour,41.91952659,-87.76937583,"(41.919526594497476, -87.76937582701346)"
ST. PAULI'S BAR,5109 N LINCOLN AVE  1,CHICAGO,IL,60625,Late Hour,41.97436947,-87.69199821,"(41.974369465401125, -87.69199821258272)"
LAS VEGAS NITE CLUB INC,3702 W ARMITAGE AVE,CHICAGO,IL,60647,Late Hour,41.91736099,-87.71936115,"(41.91736098818671, -87.71936114474791)"
NICK'S,1516 N MILWAUKEE AVE 1ST,CHICAGO,IL,60622,Late Hour,41.90899562,-87.67553166,"(41.90899561514011, -87.67553165647173)"
T!ME,873 N ORLEANS ST 1ST & BSMT,CHICAGO,IL,60610,Late Hour,41.89869627,-87.63710466,"(41.898696269812156, -87.63710466143999)"
CIRCUIT,3641 N HALSTED ST,CHICAGO,IL,60613,Late Hour,41.94852457,-87.64937612,"(41.94852457422423, -87.6493761225899)"
HUNT CLUB,1100-1106 N STATE ST,CHICAGO,IL,60610,Late Hour,41.90190555,-87.62849308,"(41.90190555423841, -87.62849307613354)"
TIMOTHY O'TOOLE'S,622 N FAIRBANKS CT,CHICAGO,IL,60611,Late Hour,41.8933654,-87.62042206,"(41.89336539713901, -87.62042205744733)"
Cuvee,308 W ERIE ST,CHICAGO,IL,60610,Late Hour,41.8940729,-87.63606586,"(41.89407290438245, -87.63606585655697)"
CLARK STREET ALE HOUSE,742 N CLARK ST,CHICAGO,IL,60610,Late Hour,41.89613345,-87.63138315,"(41.896133448405855, -87.6313831499474)"
CHARLIES CHICAGO,3726 N BROADWAY,CHICAGO,IL,60613,Late Hour,41.94996944,-87.64902099,"(41.949969437633726, -87.64902099299884)"
SPY BAR,303 W ERIE ST BSMT L101,CHICAGO,IL,60610,Late Hour,41.89385682,-87.63579585,"(41.893856817238635, -87.63579584784382)"
MARIANNA'S PLACE,5625 W 63RD ST 1ST,CHICAGO,IL,60638,Late Hour,41.77792381,-87.76265939,"(41.77792381411959, -87.76265938509499)"
SOUTH LOOP CLUB INC,701 S STATE ST,CHICAGO,IL,60605,Late Hour,41.87305558,-87.62741781,"(41.87305557644521, -87.62741781254495)"
THE SHRINE - COUP D'ETAT,2109-2111 S WABASH AVE,CHICAGO,IL,60616,Late Hour,41.85395238,-87.62537587,"(41.85395237977426, -87.62537587283745)"
MCFADDEN'S,1206 N STATE PKWY,CHICAGO,IL,60610,Late Hour,41.90414746,-87.62882996,"(41.90414745560731, -87.62882996333285)"
SUPAROSSA,4250 N CENTRAL AVE,CHICAGO,IL,60634,Late Hour,41.95837385,-87.76732076,"(41.95837384588684, -87.76732076240101)"
BLUE SKY RESTAURANT,4807-4809 S PULASKI RD 1ST,CHICAGO,IL,60632,Late Hour,41.80577977,-87.72337496,"(41.80577977439837, -87.72337496234026)"
UNDERGROUND CHICAGO,56 W ILLINOIS ST,CHICAGO,IL,60610,Late Hour,41.89093545,-87.6301431,"(41.890935446552625, -87.63014310123303)"
"BUTCH MC GUIRE'S, INC.",20 W DIVISION ST,CHICAGO,IL,60610,Late Hour,41.90403823,-87.62950232,"(41.90403823021623, -87.62950232369502)"
NITE CAP,5007-5009 W IRVING PARK RD,CHICAGO,IL,60641,Late Hour,41.9532425,-87.75253199,"(41.95324249980824, -87.75253198482571)"
BREWBAKERS,10350 S WESTERN AVE,CHICAGO,IL,60643,Late Hour,41.70486871,-87.68171959,"(41.70486871150318, -87.68171958749872)"
BATON LOUNGE,436 N CLARK ST,CHICAGO,IL,60610,Late Hour,41.89027564,-87.63123652,"(41.89027564064878, -87.63123652314604)"
BOUZOUKI LOUNGE,310 S HALSTED ST,CHICAGO,IL,60661,Late Hour,41.87759408,-87.64738021,"(41.87759408077344, -87.64738020966664)"
TEASER'S PUB,7123 W HIGGINS AVE 1ST,CHICAGO,IL,60656,Late Hour,41.9807262,-87.80571278,"(41.980726198415624, -87.80571278001223)"
AS TIME GOES BY II LTD.,7706 W BELMONT AVE,CHICAGO,IL,60634,Late Hour,41.93799415,-87.81928312,"(41.9379941491104, -87.81928311687304)"
SIDEKICKS,4420  -04430 W MONTROSE AVE 1ST,CHICAGO,IL,60641,Late Hour,41.96092773,-87.73933586,"(41.96092772787229, -87.73933586085796)"
EL MEXICO MODERNO,1245-1247 N ASHLAND AVE 1ST,CHICAGO,IL,60622,Late Hour,41.90463775,-87.66738341,"(41.90463774865936, -87.66738341218588)"
NICK'S ON WILSON,1140 W WILSON AVE,CHICAGO,IL,60640,Late Hour,41.96548895,-87.6591587,"(41.96548894953586, -87.65915869895883)"
GRANDBAR,1600 W GRAND AVE 1ST,CHICAGO,IL,60622,Late Hour,41.89108711,-87.66720406,"(41.89108711220122, -87.6672040584081)"
THE REDHEAD PIANO BAR,16 W ONTARIO ST,CHICAGO,IL,60654,Late Hour,41.8933709,-87.62878315,"(41.893370903547904, -87.62878315259046)"
